title,author,price,pages,avg_reviews,n_reviews,dimensions,weight,language
PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics Data Science and Machine Learning with the Complete Crash Course for Beginners - 5 Manuscripts in 1 Book,[TechExp Academy],24.9,400,4.2,282,8 x 0.91 x 10 inches,1.9 pounds,English
DATA SCIENCE WITH PYTHON: Complete Guide To Understanding Data Analytics And Data Science With Python Programming (Code tutorials),[Craig Berg],9.98,138,,0,6 x 0.35 x 9 inches,7.5 ounces,English
Data Analytics: Practical Guide to Leveraging the Power of Algorithms Data Science Data Mining Statistics Big Data and Predictive Analysis to Improve Business Work and Life,[Arthur Zhang],11.97,280,3.7,17,6 x 0.64 x 9 inches,1.08 pounds,English
Introduction to Machine Learning,[Etienne Bernard],29.6,424,4.4,11,7 x 0.86 x 10 inches,1.61 pounds,English
Hands-On Data Structures and Algorithms with Kotlin: Level up your programming skills understanding how Kotlins data structure works,"[Chandra Sekhar Nayak,Rivu Chakraborty]",36.99,220,3.6,4,7.5 x 0.5 x 9.25 inches,13.6 ounces,English
Asking Smarter Questions: How To Be an Agent of Insight (Using Data Better),[Sam Knowles],39.95,280,,0,5.06 x 0.64 x 7.81 inches,1.23 pounds,English
Scalable Data Analytics with Azure Data Explorer: Modern ways to query analyze and perform real-time data analysis on large volumes of data,"[Jason Myerscough,Arunee Singhchawla]",51.99,364,5,8,7.5 x 0.82 x 9.25 inches,1.38 pounds,English
The Political Philosophy of AI: An Introduction,[Mark Coeckelbergh],19.59,176,3.7,7,5.4 x 0.7 x 8.5 inches,9.6 ounces,English
Transformers for Machine Learning: A Deep Dive (Chapman & Hall/CRC Machine Learning & Pattern Recognition),"[Uday Kamath,Kenneth Graham et al.]",54.95,257,3.9,8,6.1 x 0.7 x 9.2 inches,12.2 ounces,English
Predictive Analytics: Data Mining Machine Learning and Data Science for Practitioners (Pearson Business Analytics Series),[Dursun Delen],47.49,350,4.1,12,5.95 x 1.1 x 8.9 inches,1.48 pounds,English
Pre-K-12 Guidelines for Assessment and Instruction in Statistics Education II (GAISE II): A Framework for Statistics and Data Science Education,"[Anna Bargagliotti,Christine Franklin et al.]",15,122,5,4,8.5 x 0.28 x 11 inches,10.7 ounces,English
Confident Data Skills: How to Work with Data and Futureproof Your Career (Confident Series),,14.64,320,4.7,15,5.51 x 0.79 x 8.46 inches,14.1 ounces,English
Learning Tableau 2022,"[Joshua N. Milligan,Blair Hutchinson et al.]",55.09,566,5,14,7.5 x 1.28 x 9.25 inches,2.12 pounds,English
The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling 3rd Edition,,40.16,600,4.7,531,7.38 x 1.36 x 9.25 inches,2.14 pounds,English
